benchMark,Instrs_1,Instrs_2,Instrs_3,Instrs_4,Instrs_5,Time(s)_1,Time(s)_2,Time(s)_3,Time(s)_4,Time(s)_5,ICov(%)_1,ICov(%)_2,ICov(%)_3,ICov(%)_4,ICov(%)_5,BCov(%)_1,BCov(%)_2,BCov(%)_3,BCov(%)_4,BCov(%)_5,Mem(MB)_1,Mem(MB)_2,Mem(MB)_3,Mem(MB)_4,Mem(MB)_5,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5
klee-out-sleep,10858205693,10716305673,10858043976,10163077551,10136141811,7202.5,7202.79,7202.76,7202.92,7203.83,35.38,35.38,35.38,33.82,33.82,25.65,25.65,25.65,25.22,25.22,105.68,106.81,106.83,115.33,115.21,42246,39641,39641,39272,39272
klee-out-ls,3904920758,3694326675,3402156096,3872349224,3786725335,7208.6,7209.08,7209.32,7208.63,7208.8,25.39,25.41,25.41,24.64,24.64,17.97,18.03,18.03,17.8,17.8,1514.39,1440.87,1380.9,1573.7,1552.11,138287,152619,142314,145834,143032
klee-out-realpath,742015649,588824266,610582896,525203093,525203093,6398.31,5401.49,5710.01,3050.8,3039.13,32.76,32.76,32.76,31.39,31.39,26.07,26.01,26.04,25.72,25.72,189.49,169.7,175.75,151.76,151.05,66311,55991,56646,62467,62467
klee-out-uptime,117933954,109744118,121464996,96260914,104959343,498.96,473.15,531.91,575.41,535.81,34.41,35.25,35.25,34.01,34.01,23.24,24.01,24.04,23.68,23.71,141.53,141.68,141.15,141.54,141.85,8562,7838,8996,8671,9526
klee-out-tail,507450841,427956001,419230224,464271200,466876421,7211.61,7218.03,7211.92,7216.33,7219.98,29.31,29.31,29.31,28.18,28.18,22.13,22.13,22.13,21.82,21.82,246.87,245.56,245.59,247.0,245.58,130186,115843,112161,127136,123743
klee-out-tsort,266091021,251239292,251239292,273873616,272776251,1192.5,1124.52,1241.9,1247.3,1242.43,42.33,43.27,43.27,40.82,40.82,32.89,33.35,33.35,32.54,32.54,190.49,193.4,193.73,232.84,232.77,21519,20549,20549,24524,24301
klee-out-dirname,53058111,52047701,52047701,27669133,27669133,49.07,49.05,48.54,30.72,30.97,26.46,26.46,26.46,24.85,24.85,18.15,18.15,18.15,17.77,17.77,40.72,40.72,40.72,40.72,40.72,9524,9558,9558,8481,8481
klee-out-uniq,288351120,281543439,272272499,276562715,282878419,7201.88,7204.35,7203.24,7203.19,7215.59,43.53,43.56,43.56,42.13,42.13,33.82,34.06,34.06,33.49,33.49,131.82,130.58,126.24,130.77,130.73,33125,32045,31339,33149,33573
klee-out-seq,1344354704,1380792432,1333263007,1383601497,1415704961,7206.85,7209.38,7211.25,7208.37,7207.63,38.71,38.33,38.18,38.03,38.03,29.09,28.73,28.66,29.86,29.86,131.68,127.91,127.84,126.9,126.72,132022,139250,133880,140585,142129
klee-out-od,409448785,443281834,442437351,389984407,403099979,4541.09,4948.64,5527.06,4654.7,5014.86,34.74,34.82,34.76,33.54,33.54,26.54,26.69,26.6,26.27,26.27,162.55,166.37,168.05,163.54,162.47,42246,46716,48814,43104,46386
klee-out-tr,892419169,883962594,883935710,854027681,853900660,7224.36,7234.7,7236.52,7205.99,7248.29,36.53,36.55,36.55,33.38,33.38,26.84,26.97,26.97,25.1,25.1,114.49,118.39,118.41,109.52,109.48,91441,90533,90509,90029,89995
klee-out-mkfifo,499642707,507080842,507080842,613083686,613083686,1127.56,1246.99,1242.27,1421.47,1449.1,34.99,34.99,34.99,33.43,33.43,26.03,26.1,26.1,25.74,25.74,84.97,88.31,88.4,88.77,88.91,32992,31013,31013,42722,42722
klee-out-test,302328455,302466885,302466885,279520393,279520393,672.19,687.06,731.36,662.13,663.65,34.47,34.47,34.47,32.94,32.94,23.36,23.36,23.36,23.02,23.02,121.12,123.91,124.04,129.02,128.82,10640,10761,10761,10767,10767
klee-out-id,1735281954,955203022,882648861,1801654369,1779181767,7201.34,7201.3,7201.19,7201.23,7201.37,39.18,39.18,39.18,37.79,37.79,29.12,29.12,29.12,28.87,28.87,171.92,167.86,164.69,175.48,175.47,86118,46376,42990,88665,87405
klee-out-tee,34267675,33258375,33258375,11368924,11368924,35.65,36.86,37.17,21.93,22.88,23.83,23.83,23.83,21.89,21.89,15.55,15.55,15.55,14.97,14.97,71.0,71.01,71.01,71.01,71.01,3290,3290,3290,3290,3290
klee-out-df,5137427996,5126788838,5288161271,4718771009,4587510880,7203.52,7202.53,7202.61,7202.39,7202.33,25.05,25.26,25.26,24.0,24.0,17.45,17.93,17.93,17.16,17.16,209.06,204.68,204.69,213.37,213.44,16582,12409,12409,10473,10473
klee-out-hostid,136744121,135208535,135208535,124925505,124925505,265.59,277.96,278.82,273.28,274.21,33.75,33.75,33.75,32.35,32.35,24.93,24.93,24.93,24.6,24.6,66.66,66.91,66.91,66.51,66.53,10313,10323,10323,11326,11326
klee-out-sha224sum,484801406,489375185,484426889,469265007,453806963,7213.82,7214.63,7213.99,7214.35,7216.44,49.61,49.61,49.25,48.48,48.48,26.59,26.49,26.02,26.25,26.25,696.51,646.53,635.14,666.99,666.55,259714,249880,244600,280779,263477
klee-out-sha512sum,375915012,356934912,307442894,532710371,525136824,7215.87,7213.43,7213.62,7216.42,7214.08,51.94,51.94,51.94,51.94,51.94,25.4,25.4,25.4,26.29,26.29,1102.02,1139.7,1150.58,1123.16,1121.33,178537,162917,142957,117120,109319
klee-out-nice,235330720,283875052,283875052,291059470,291059470,1380.94,1592.73,1602.14,1806.73,1810.59,34.62,34.62,34.62,33.06,33.06,24.64,24.64,24.64,24.28,24.28,112.71,112.77,112.78,112.06,112.02,15677,19318,19318,20977,20977
klee-out-sync,1915922660,1672820044,1582602557,2118970987,1923525955,7215.09,7218.74,7215.8,7215.17,7215.85,32.92,32.92,32.26,31.2,30.54,24.36,24.44,24.1,23.99,23.65,176.33,170.03,171.69,74.26,77.46,312778,380755,390727,258320,240374
klee-out-getlimits,115513638,114557438,114557438,92756507,92756507,78.26,79.13,77.83,64.34,63.13,36.3,36.3,36.3,34.77,34.77,24.71,24.71,24.71,24.34,24.34,41.3,44.15,44.15,44.15,44.15,207,207,207,207,207
klee-out-cat,1292876980,1323207463,1322921238,1353564767,1353369645,5520.43,5701.03,5213.57,5659.15,5774.92,37.31,37.29,37.29,35.77,35.77,28.26,28.19,28.19,27.91,27.91,4013.58,4005.88,4005.47,4009.01,4004.42,106217,105141,105447,111389,111446
klee-out-sha1sum,628890610,922110249,904243470,629185150,603324417,7216.99,7213.88,7213.86,7213.26,7255.09,42.64,43.91,43.91,41.36,41.36,25.36,26.55,26.55,24.97,24.97,439.76,513.0,508.91,468.1,468.17,246620,225506,217500,227676,196923
klee-out-comm,216773456,195983790,195983790,543659438,543659438,8762.27,7351.81,7255.12,3556.32,3437.07,42.68,42.82,42.82,38.64,38.64,33.18,33.51,33.51,30.88,30.88,819.22,779.15,779.23,146.5,146.45,20755,18745,18745,46194,46194
klee-out-truncate,1825051087,1720069830,1689830981,1895777145,1738077435,7212.06,7213.53,7211.93,7214.92,7239.18,43.21,43.18,43.18,41.67,41.64,33.86,33.76,33.76,33.47,33.4,192.79,194.81,194.31,196.11,194.55,224521,216799,207396,237249,219409
klee-out-nohup,2171443054,2166421499,2166421499,2186742455,2186742455,4197.45,3999.55,4507.53,3936.91,3882.5,32.77,32.77,32.77,31.22,31.22,23.95,23.95,23.95,23.59,23.59,103.53,102.5,102.24,102.23,102.09,176071,175803,175803,179447,179447
klee-out-base64,1114124507,690285742,684645463,1099314228,1086256163,7204.7,7203.74,7204.01,7204.79,7205.19,42.8,42.8,42.8,41.33,41.33,32.77,32.77,32.77,32.44,32.44,139.09,120.91,120.5,137.96,136.49,109475,70760,70196,111142,110974
klee-out-yes,6379294186,7096687515,6546634964,7888489769,7546984071,7200.06,7200.1,7200.13,7200.06,7200.14,18.35,18.35,18.35,16.3,16.3,10.81,10.81,10.81,10.2,10.2,38.69,38.71,38.7,38.71,38.71,8,8,8,8,8
klee-out-md5sum,599494876,654734018,580265609,678233800,660306521,7212.76,7216.92,7216.95,7210.5,7210.37,39.25,38.72,38.73,37.76,37.76,25.35,24.92,24.92,24.98,24.98,495.78,401.49,396.82,405.2,403.39,228724,221297,211799,251677,248027
klee-out-printenv,713625545,1039378585,1050428501,711518964,711518964,1160.33,1493.26,1546.93,927.59,946.96,24.09,24.09,24.09,22.03,22.03,16.21,16.21,16.21,15.61,15.61,41.59,41.58,41.58,40.94,40.95,335467,492526,497405,361294,361294
