benchMark,Instrs_1,Instrs_2,Instrs_3,Instrs_4,Instrs_5,Time(s)_1,Time(s)_2,Time(s)_3,Time(s)_4,Time(s)_5,ICov(%)_1,ICov(%)_2,ICov(%)_3,ICov(%)_4,ICov(%)_5,BCov(%)_1,BCov(%)_2,BCov(%)_3,BCov(%)_4,BCov(%)_5,Mem(MB)_1,Mem(MB)_2,Mem(MB)_3,Mem(MB)_4,Mem(MB)_5,Completed_1,Completed_2,Completed_3,Completed_4,Completed_5
klee-out-sleep,1454566514,1458032305,1442515988,1418738261,1410380750,7218.98,7223.7,7221.77,7228.49,7222.5,35.38,35.38,35.38,35.38,35.38,25.65,25.65,25.65,25.65,25.65,96.94,98.24,98.3,98.24,98.72,676123.0,665914.0,643812.0,659728.0,606534.0
klee-out-ls,6238938614,6720078451,6723823259,6748242946,6643178824,7201.2,7201.06,7201.15,7201.12,7201.22,26.81,26.81,26.81,26.81,26.81,18.91,18.91,18.91,18.91,18.91,1495.03,1588.84,1588.02,1592.81,1572.81,266778.0,287800.0,287878.0,289047.0,284920.0
klee-out-realpath,2121370611,1973981987,2459329068,2229571381,2412988137,5238.67,4429.88,6895.3,7219.83,6869.16,31.96,32.27,31.82,31.78,31.82,25.59,25.85,25.46,25.34,25.46,331.42,212.62,605.03,251.34,582.7,318409.0,293565.0,351986.0,412703.0,346319.0
klee-out-uptime,342963445,8112323,342982091,343034120,342989320,431.54,9.06,439.41,435.86,439.89,35.23,31.6,35.25,35.25,35.25,24.01,20.85,24.01,24.04,24.04,47.07,43.87,46.74,47.09,47.01,31337.0,1056.0,31337.0,31337.0,31337.0
klee-out-tail,2072347258,10763759,1993114567,1913560384,1854505019,7201.93,8.99,7203.52,7068.19,6880.25,29.64,23.38,29.64,29.64,29.64,22.29,15.67,22.29,22.29,22.29,142.29,46.93,142.96,142.8,139.25,248727.0,840.0,236773.0,216678.0,212318.0
klee-out-tsort,1647778603,987316,1647778603,1647778603,1647778603,6977.94,9.21,7119.01,7102.27,7014.46,43.27,30.77,43.27,43.27,43.27,33.35,21.53,33.35,33.35,33.35,1096.7,41.19,1095.58,1095.75,1095.53,149032.0,213.0,149032.0,149032.0,149032.0
klee-out-dirname,68605171,68605171,68605171,68605171,68605171,63.97,64.9,64.36,64.72,64.83,26.46,26.46,26.46,26.46,26.46,18.15,18.15,18.15,18.15,18.15,38.62,38.62,38.62,38.62,38.62,16600.0,16600.0,16600.0,16600.0,16600.0
klee-out-uniq,2272642943,995929,2180366979,2200469557,2281846264,7215.26,8.91,7220.95,7224.29,7223.08,43.05,30.14,42.42,42.42,43.04,34.33,20.96,33.82,33.82,34.33,355.68,48.16,319.48,300.17,284.1,344995.0,,351422.0,383241.0,378081.0
klee-out-seq,2149641883,2276488195,2153962077,2295986250,2207040008,7223.13,7218.25,7219.0,7218.84,7217.87,43.85,44.36,44.68,44.46,44.56,34.55,35.09,35.35,35.19,35.35,129.43,129.8,132.39,129.34,131.38,352292.0,335637.0,312475.0,337980.0,330374.0
klee-out-od,1459601115,1459601115,1459601115,1459601115,1459601115,3282.68,2627.8,2706.61,2674.07,2734.54,34.86,34.86,34.86,34.86,34.86,26.73,26.73,26.73,26.73,26.73,136.24,135.9,135.43,136.13,136.16,167439.0,167439.0,167439.0,167439.0,167439.0
klee-out-tr,290614033,3679188,290603778,290599825,290603174,7206.22,9.21,7216.1,7213.63,7211.27,37.3,24.26,37.3,37.3,37.3,27.61,16.17,27.61,27.61,27.61,125.21,43.57,125.19,125.31,125.22,108537.0,1766.0,108377.0,108315.0,108367.0
klee-out-mkfifo,1819000801,2032301935,2000280956,2006177738,2013459240,7216.02,7215.77,7215.46,7216.87,7215.4,29.7,29.7,29.7,29.7,29.7,21.8,21.8,21.8,21.8,21.8,224.44,219.38,218.51,222.79,222.5,409057.0,499007.0,499860.0,502613.0,498084.0
klee-out-test,1713955794,8170276,1713955794,1713955794,1713955794,2078.18,9.19,2099.4,2195.46,2155.72,34.57,26.89,34.57,34.57,34.57,23.57,17.37,23.57,23.57,23.57,181.62,37.82,181.61,181.46,181.55,65891.0,713.0,65891.0,65891.0,65891.0
