benchMark,B_Instrs,K_Instrs,B/K,B_Time(s),K_Time,B_BCov(%),K_BCov(%),B/K,B_Mem,K_Mem,B/K,DG_build,Anlysis(s),Divide(s),Check(s),DeletedPath,B_Path,K_Path,B/K
base64,982677528,679715751,1.445718341,TO,TO,32.77,34.25,0.956788321,135.2,70.32,1.922639363,0.104342s,0.0981108s,10348s,0.129449s,47351,99246,158492,0.626189334
chroot,182323684,481572537,0.378600668,TO,TO,22.22,22.31,0.995965935,116.13,47.7,2.434591195,0.251121s,0.545275s,2411.61s,0.0197987s,1918,19623,61218,0.320542978
df,1705181230,908740553,1.876422511,TO,TO,17.49,17.49,1,196.74,54.13,3.63458341,2.30102s,2.19791s,16.6683s,0.00481291s,0,3999,2521,1.586275288
head,2269810940,460834282,4.925438555,TO,TO,30.47,22.1,1.378733032,280.54,46.95,5.975292865,0.276267s,0.374904s,8096.17s,1.1834s,121661,198249,97840,2.026257155
id,1312915830,527012343,2.491243037,TO,TO,29.12,23.49,1.239676458,170.37,3310.27,0.051467101,0.18899s,0.766188s,10825.5s,0.913702s,125042,65343,55656,1.174051315
kill,2549056844,404294497,6.304950631,TO,TO,29.28,19.69,1.487049264,206.85,52.38,3.949026346,0.161836s,0.101388s,7145.08s,2.41159s,365489,185735,135253,1.373241259
ln,4846132466,513696514,9.433843396,TO,TO,31.81,20.31,1.566223535,197.26,56.17,3.51183906,1.19104s,0.546153s,2872.46s,0.573347s,103776,353738,101936,3.470196986
ls,1191778676,925014406,1.288389314,TO,TO,17.91,17.69,1.012436405,851.02,306.58,2.775849697,82.8388s,9.8382s,959.317s,0.0624544s,215,50464,38661,1.305294741
md5sum,194706886,162030409,1.201668793,TO,TO,23.56,23.56,1,233.78,137.9,1.695286439,0.141946s,0.293404s,877.965s,0.173789s,0,80568,52262,1.541617236
numfmt,958386920,423195045,2.264645892,TO,TO,29.73,23.08,1.28812825,433.26,117.18,3.697388633,0.696853s,0.945796s,7663.29s,0.4082s,92002,74897,132155,0.56673603
paste,555297492,318320227,1.74446185,TO,TO,31.63,31.41,1.007004139,88.65,49.6,1.787298387,0.197638s,0.110643s,1216.2s,0.115611s,59298,54120,75407,0.717705253
pathchk,1422063763,317845145,4.474077347,TO,TO,29.15,29.48,0.98880597,1810.95,297.75,6.082115869,0.170934s,0.114093s,5640.84s,0.637757s,123848,211446,97250,2.174251928
pr,219240918,540486578,0.405636193,TO,TO,17.75,17.75,1,501.56,98.25,5.104936387,1.31369s,20.0301s,2143.43s,0.115874s,7825,26362,71204,0.370232009
seq,1904274222,670113294,2.841719809,TO,TO,30.53,29.33,1.04091374,131.47,85.12,1.544525376,0.1683s,0.292887s,8121.15s,0.640421s,207332,187348,160495,1.167313623
sha1sum,405655699,312173281,1.29945682,TO,TO,24.9,24.74,1.006467259,171.43,68.47,2.503724259,0.272482s,1.12845s,1045.07s,0.255025s,54,67966,53336,1.274298785
sha224sum,371833192,108567766,3.424894936,TO,TO,25.4,23.25,1.092473118,3541.52,340.11,10.41286643,0.298882s,,,,,44355,44355,1
sha384sum,38903601,184508,210.8504834,TO,TO,23.35,11.36,2.055457746,1026.52,775.37,1.323909875,0.325589s,2.58018s,67.9122s,0.0173586s,0,6167,6,1027.833333
sha512sum,419628002.6,395723107,1.060408137,TO,TO,25.756,25.4,1.014015748,1127.358,1065.05,1.058502418,0.322527s,2.47038,68.9319s,0.0168432s,13151,6167,142170,191330
sleep,17396596753,359004780,48.45784157,TO,TO,25.65,20.14,1.273584906,107.56,61.41,1.751506269,0.140277s,0.0634799s,660.229s,0.138833s,141816,39641,154536,0.256516281
sort,274973981,386270036,0.71186982,TO,TO,16.65,16.64,1.000600962,437.97,110.39,3.967478938,12.7428s,9.38277s,1792.25s,0.512164s,26109,42024,75415,0.557236624
stty,1321412380,582732732,2.267613105,TO,TO,33.4,25.56,1.306729264,231.16,57.85,3.99585134,0.441493s,0.950255s,7143.24s,0.397763s,171398,98462,164753,0.597634034
sum,1168614798,243357938,4.802041008,TO,TO,25.09,22.2,1.13018018,146.11,111.06,1.315595174,0.165691s,0.277753s,8210.58s,0.352029s,190094,141962,78565,1.806936931
sync,2145215825,448815040,4.779732482,TO,TO,24.44,23.8,1.026890756,176.54,46.69,3.781109445,0.193306s,0.100001s,1522.2s,0.46884s,855,511765,81559,6.274782673
